06-20 14:48:09: Training starting.......
06-20 14:48:13: New Best Reward -9.3 (-100.0%) at episode 0, saving model.....
06-20 14:48:14: New Best Reward -0.9 (-90.3%) at episode 3, saving model.....
06-20 14:48:14: New Best Reward -0.3 (-66.7%) at episode 7, saving model.....
06-20 14:48:15: New Best Reward 3.1 (-1133.3%) at episode 9, saving model.....
06-20 14:48:15: New Best Reward 3.1 (+0.0%) at episode 13, saving model.....
06-20 14:48:32: New Best Reward 3.3 (+6.5%) at episode 129, saving model.....
06-20 14:48:33: New Best Reward 3.4 (+3.0%) at episode 131, saving model.....
06-20 14:48:33: New Best Reward 7.2 (+111.8%) at episode 135, saving model.....
06-20 14:49:37: New Best Reward 7.9 (+9.7%) at episode 546, saving model.....
